C30D39E7 C0FA3CF1
41E18D23 BF8A58D6
41A4DEC0 3F34B241
C14FCB5C 40145E34
C22A5B02 C09A38F0
C217C97F 405AF8FB
C21B1157 C01FCA8E
C2092ED2 40D26A13
C377536F C122804A
42C35F87 C0EAF45E
41B8D78D BF5808DC
C2632F21 C0677EBE
C36E1D18 41232230
4333D524 40CF53F7
41163AAD BF73C828
42BDDA5D C10C9916
C2388DE7 BFF4620D
C2475C49 C1038F25
C326487F C0F231C0
C169B662 4082B583
40F498F7 4073C655
4315E48A C0F97956
C211D542 3FD914A4
42F4E03E 41035AD1
C0210F07 3F4112AE
C25FD17F C0693015
C2D1A061 40935292
41862DAB C05970E0
433359EB 40DAB070
C319737D 4116CF37
4148491D 406B85B0
4361018E C10AE1E2
C1FCE595 C095924F
42C2885A C11EDD95
42F20082 40845C8A
C247C676 40AF1E99
42C83FA6 C0D30F82
428BA7A9 C1195292
42987B6A C125B43E
427C8161 40381689
C2DD190C C0DABAC1
C1A8F1A1 C06D4C9B
C08B2448 C0E8D213
C2143D0B 40DE748E
C226C83B 411DE076
4380C207 C11BF374
C3114FDE C10AC16C
C21AA531 3FB72BEA
42249463 4078FAA4
435C2E2A 4115EF10
C26509D3 40077140
C1F26A6B 3FC1E232
42F9C10B C0BF9845
C25C0A52 40F3E5B9
C332F16B C0DFE1ED
417FE3D3 3FB7E75A
42F354F7 C123AE83
43003C20 41072B78
C25597B1 401CF49C
421697B2 C0DE8D17
42D838B4 411A60D8
C30B265F C09904D8
42208DB8 405C7281
C21388DB 400C79B1
419592C8 40C66B69
41EDFBC9 3FF34EBB
431E2D51 40EF0B88
4351B69F C1097F6F
42AA093E 40B3A12C
4334465F 40F0A120
C146CBA3 40882FC2
C2A8E731 40A4FDCA
BF7B829E BF4E14A5
C1DF575E 3FE2A331
C18F36C3 40D75330
C2E31309 C0BD00D4
425DBBCF 40B53752
C13FF731 409C788A
C339DF2D C10DC1BF
417B44A3 C0041EA5
42716929 40E3435E
42DF06B9 40C164B0
42B9692D C081E948
3FA26F65 BF75C44A
417E8A78 40A7BC52
41EA3177 C00ED965
C11FF103 C0DB3ADF
C30EAE08 C0B100EC
C1BADBB4 3F9A53F8
C32BF222 C11E6FD5
C2A7673E C0A2A413
C389D3F1 4121CA5E
3F799A76 BFC0FEEF
C13B7D2A BF9B1F19
C293EBF4 410A50A1
C33367AC C0D94300
41900E0A 4054808C
4301D6FA 41267B17
C2DB070E C07A1D40
C336169E 410023AE
C30A3916 C0B1AE46
BFEEFFA0 C08C8B66
C2D342DA 406C5C59
42B8D2E4 40DA301A
4323CDCA C0E734B6
41A8AFA0 3FB4BE6A
C3036443 C09D4A2E
42312156 BFF70783
C1E2AF29 3FABA81E
C199B24A C0F1FF5C
C23E6678 C087C444
436B2FAB 4125C29B
430B6451 C10457F0
C1BFDF98 BFCE5531
40795041 BF881175
C30C1CC4 C0FEBBFF
C2AFA187 4056DB12
C1912CBE BF1F1D8E
C32CAB34 C0B8DD46
C320FA51 C12316A2
42BEFC83 40A17401
41023F95 3F7457BE
42BD27E7 40A1CF67
425BDFE5 C0A4622D
C3980D76 4123E736
42B044A4 40661901
C36E1498 4119BF94
42A7CEE1 40D44AF9
3F593137 3F73C282
C23F60B3 C125F6D5
C38157E5 41232FB1
C21A5C79 4094BE04
C381D47F C10A106D
4368F1C3 410309BA
C19F2A12 40A02C94
4261B648 403254D6
C204769B 3FD15A8D
431255C2 40B673CB
42E22FC6 411443BB
4316A2AB C100D26C
BF7FE4CA 3FEE8E35
C269EF0F C08D84A2
C30527D6 40B47A05
C3826704 C111FA6B
C22A2AAA C0AD7A2B
C2583C00 C0ADA346
C09FC05F 3FA11AE6
4211F909 BFF1B2E4
430791B8 C1177C74
C04DA00F 401B10A2
40C892E6 C0114966
41E2265B C0240DB7
41AC1142 3F64A39A
C3800958 4113C5C8
43410DF2 C108FE01
427627EE C0868D13
C2E6E351 40A402D8
434DC524 C0F44599
41AA06EE 3FC92E20
C211CFBE 404C50D0
41CF968B C02753A4
C303C35D C0CDF318
C1B197DE 3FAF420A
4197557C 409A218D
42EFB874 C0DEB18A
C23D4DCF C0D1D913
4168FFB2 C03D69B7
4271451C C00EF588
C3082545 C09353B5
4384DD13 C1231D82
C2321E18 400D5E39
4253552E 40C6EA84
C240444F 406F279B
C1F2E295 3FD2FDBB
C1ED9EB4 C002CAC9
C17F9E79 40776D3E
C2B5AE3E C06E4E74
C3119757 C101A2EF
42DF40E8 C07F4694
42199020 3FDF19B7
C1D02486 3F951D7F
4235DCE1 3FF2E89C
42524CB7 C009214F
42D7FE53 4082D364
C25F3563 C09C85EE
42F22E10 C0FF3C29
C28E5F9C C08AD85E
423CE51D 3FD5A126
C23519EB 3FF244AD
43603FCD 411705D7
4285D53A C03F0876
C3568363 C101FE4F
C223CD94 BFCD9BCE
421BD182 C1079138
C314E1D6 C0F66965
41FCCEE3 404126C2
C2999AB9 C0CAAF74
C20FDDBF C0022518
418F1B2C 3F2E5CB1
434F61D2 40EEEDA2
C2E53D5D 40C8698A
C3892834 C11D7FAC
4382BC83 C1259319
C3101A62 C1132EF4
C12A3B6A 3F86184B
C238C556 40757081
42269A03 407DA954
C216305D 402FBF41
428AEE90 C0AF7A4A
C2F07AF4 40C9C9CC
C283F384 C011F16A
4222740E BFAD3F62
41D3A9C4 3F95DB9E
C16D9CA0 C0234A14
414BC25E C0C4BFCA
C2990CFA 40B7CE0D
C13682CB C0035A90
420B3947 40877580
C066D7C3 3F40FD34
40A6C0E2 3F455DA1
C00FCE08 BF327580
C24BAB5E 40E0E0F6
43470524 C0F7201B
C23381FC 40E5C989
BFD6EECC BF2148F1
4222D97B C0141E62
